,error,max_depths,min_leafs,min_splits,std
236,0.7823033707865169,1,12,17,0.019295728958924806
237,0.7823033707865169,1,12,18,0.019295728958924806
238,0.7823033707865169,1,12,19,0.019295728958924806
239,0.7823033707865169,1,12,20,0.019295728958924806
240,0.7823033707865169,1,13,1,0.019295728958924806
241,0.7823033707865169,1,13,2,0.019295728958924806
242,0.7823033707865169,1,13,3,0.019295728958924806
243,0.7823033707865169,1,13,4,0.019295728958924806
244,0.7823033707865169,1,13,5,0.019295728958924806
245,0.7823033707865169,1,13,6,0.019295728958924806
246,0.7823033707865169,1,13,7,0.019295728958924806
247,0.7823033707865169,1,13,8,0.019295728958924806
248,0.7823033707865169,1,13,9,0.019295728958924806
249,0.7823033707865169,1,13,10,0.019295728958924806
250,0.7823033707865169,1,13,11,0.019295728958924806
251,0.7823033707865169,1,13,12,0.019295728958924806
252,0.7823033707865169,1,13,13,0.019295728958924806
253,0.7823033707865169,1,13,14,0.019295728958924806
